Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Omega-3 - DHA,Omega-3 - DPA,Omega-3 - EPA,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Trans Fat,Vitamin A,Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Choline,Fructose,Histidine,Isoleucine,Leucine,Lysine,Manganese,Methionine,Phenylalanine,Starch,Sugar,Threonine,Tryptophan,Valine,Vitamin D,Vitamin E,Vitamin K,Omega-3 - ALA,Omega-6 - Eicosadienoic acid,Omega-6 - Gamma-linoleic acid,Omega-3 - Eicosatrienoic acid,Omega-6 - Dihomo-gamma-linoleic acid,Omega-6 - Linoleic acid,Omega-6 - Arachidonic acid,NIH_Food_Group
Foie gras,Meat,70.0,462.0,47.0,150.0,4.0,44.0,0.0,60.0,55.0,13.0,26.0,47.0,0.0,0.0,0.0,200.0,84.0,138.0,11.0,14.0,44.0,697.0,,3333.0,1001.0,9.0,94.0,3.0,25.0,12.0,6.0,2.0,92.0,,,3.0,61.0,1.0,86.0,12.0,27.0,57.0,,,51.0,16.0,72.0,,,,,,,,,,,Protein Foods
Ground turkey,Meat,28.0,203.0,0.0,93.0,15.0,10.0,0.0,7.0,15.0,30.0,35.0,0.0,1.0,1.0,1.0,254.0,29.0,294.0,27.0,27.0,31.0,78.0,13.0,79.0,24.0,8.0,13.0,21.0,87.0,12.0,63.0,0.0,31.0,78.0,,81.0,12.0,23.0,25.0,1.0,81.0,11.0,,0.0,13.0,31.0,13.0,2.0,11.0,0.0,14.0,2.0,1.0,0.0,1.0,25.0,,Protein Foods
Ground chicken,Meat,8.0,189.0,0.0,107.0,6.0,11.0,0.0,2.0,93.0,28.0,49.0,0.0,3.0,2.0,1.0,234.0,21.0,677.0,23.0,31.0,14.0,75.0,9.0,0.0,0.0,12.0,51.0,3.0,71.0,13.0,54.0,0.0,19.0,59.0,,71.0,11.0,18.0,2.0,2.0,6.0,91.0,,0.0,97.0,2.0,11.0,,39.0,21.0,8.0,2.0,2.0,,,18.0,,Protein Foods
Chicken feet,Meat,88.0,215.0,2.0,84.0,1.0,15.0,0.0,86.0,91.0,5.0,55.0,2.0,4.0,2.0,1.0,83.0,3.0,31.0,19.0,39.0,36.0,67.0,,100.0,30.0,6.0,47.0,2.0,4.0,,1.0,0.0,69.0,13.0,,,,,,,,,,0.0,,,,2.0,27.0,2.0,,,,,,,,Protein Foods
Fajita,Meat,13.0,135.0,22.0,88.0,3.0,57.0,0.0,4.0,99.0,22.0,23.0,22.0,0.0,1.0,0.0,277.0,11.0,284.0,19.0,16.0,17.0,799.0,,0.0,0.0,1.0,54.0,21.0,48.0,73.0,39.0,0.0,14.0,68.0,,68.0,81.0,16.0,19.0,7.0,55.0,76.0,,0.0,45.0,2.0,85.0,,22.0,2.0,,1.0,,,,,,Protein Foods
Barbecue chicken,Meat,16.0,226.0,12.0,127.0,8.0,15.0,0.0,8.0,95.0,21.0,64.0,12.0,0.0,0.0,0.0,218.0,2.0,255.0,23.0,39.0,22.0,335.0,8.0,67.0,20.0,6.0,47.0,23.0,57.0,15.0,19.0,0.0,18.0,63.0,4.0,59.0,85.0,15.0,18.0,1.0,57.0,69.0,0.0,12.0,66.0,17.0,94.0,0.0,46.0,0.0,,1.0,,,,,,Protein Foods
Turkey ham,Meat,7.0,118.0,31.0,64.0,,4.0,0.0,,1.0,16.0,13.0,31.0,,,,289.0,87.0,253.0,16.0,12.0,38.0,909.0,,53.0,16.0,23.0,8.0,27.0,41.0,,6.0,0.0,21.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,Protein Foods
Ostrich,Meat,6.0,145.0,0.0,85.0,15.0,26.0,0.0,15.0,28.0,25.0,97.0,0.0,,,,251.0,44.0,362.0,28.0,1.0,38.0,80.0,,0.0,0.0,23.0,63.0,29.0,71.0,13.0,55.0,0.0,49.0,,,72.0,14.0,23.0,25.0,2.0,8.0,12.0,,0.0,13.0,25.0,14.0,,23.0,,,,,,,,,Protein Foods
Blood sausage,Meat,6.0,379.0,13.0,120.0,4.0,35.0,0.0,5.0,64.0,8.0,16.0,13.0,0.0,0.0,0.0,22.0,35.0,38.0,15.0,13.0,16.0,680.0,,0.0,0.0,7.0,1.0,13.0,12.0,6.0,4.0,0.0,13.0,73.0,,71.0,32.0,14.0,11.0,1.0,2.0,82.0,,13.0,57.0,18.0,1.0,13.0,13.0,0.0,,,,,,,,Protein Foods
Bockwurst,Meat,41.0,301.0,3.0,93.0,1.0,26.0,1.0,17.0,12.0,26.0,13.0,2.0,0.0,0.0,0.0,169.0,23.0,270.0,14.0,10.0,11.0,756.0,,256.0,15.0,19.0,86.0,23.0,56.0,89.0,38.0,32.0,21.0,46.0,1.0,51.0,68.0,11.0,12.0,17.0,33.0,56.0,0.0,13.0,61.0,153.0,77.0,0.0,38.0,70.0,,,,,,,,Protein Foods
