Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Omega-3 - DHA,Omega-3 - DPA,Omega-3 - EPA,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Trans Fat,Vitamin A,Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Choline,Fructose,Histidine,Isoleucine,Leucine,Lysine,Manganese,Methionine,Phenylalanine,Starch,Sugar,Threonine,Tryptophan,Valine,Vitamin D,Vitamin E,Vitamin K,Omega-3 - ALA,Omega-6 - Eicosadienoic acid,Omega-6 - Gamma-linoleic acid,Omega-3 - Eicosatrienoic acid,Omega-6 - Dihomo-gamma-linoleic acid,Omega-6 - Linoleic acid,Omega-6 - Arachidonic acid,NIH_Food_Group
Acerola,Fruits,12.0,32.0,77.0,0.0,9.0,3.0,11.0,14.0,2.0,18.0,8.0,66.0,0.0,0.0,0.0,11.0,9.0,146.0,4.0,7.0,6.0,7.0,0.0,767.0,38.0,2.0,0.0,6.0,4.0,31.0,1.0,1678.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Fruits
Apple,Fruits,6.0,52.0,14.0,0.0,3.0,17.0,24.0,3.0,12.0,5.0,1.0,11.0,0.0,0.0,0.0,11.0,5.0,107.0,26.0,3.0,0.0,1.0,0.0,54.0,3.0,2.0,0.0,3.0,9.0,6.0,4.0,46.0,4.0,34.0,59.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,5.0,10.0,1.0,0.0,1.0,0.0,18.0,22.0,,,,,,,,Fruits
Apricot,Fruits,13.0,48.0,11.0,0.0,8.0,39.0,2.0,9.0,39.0,10.0,17.0,91.0,0.0,0.0,0.0,23.0,8.0,259.0,14.0,3.0,1.0,1.0,0.0,1279.0,96.0,3.0,0.0,4.0,6.0,24.0,5.0,10.0,2.0,28.0,94.0,3.0,4.0,8.0,1.0,8.0,1.0,5.0,,92.0,5.0,2.0,5.0,0.0,89.0,33.0,,,,,,,,Fruits
Dried fruit,Fruits,55.0,241.0,63.0,0.0,34.0,51.0,73.0,10.0,27.0,32.0,7.0,55.0,0.0,0.0,0.0,71.0,7.0,1162.0,34.0,2.0,22.0,10.0,,3604.0,180.0,2.0,0.0,7.0,26.0,52.0,14.0,1.0,39.0,14.0,12.0,5.0,6.0,11.0,8.0,24.0,2.0,6.0,35.0,53.0,7.0,2.0,8.0,0.0,43.0,31.0,,,,,,,,Fruits
Avocado,Fruits,12.0,160.0,85.0,0.0,19.0,15.0,67.0,81.0,55.0,29.0,98.0,18.0,0.0,0.0,0.0,52.0,18.0,485.0,2.0,21.0,4.0,7.0,0.0,146.0,7.0,7.0,0.0,13.0,17.0,14.0,26.0,10.0,64.0,14.0,12.0,5.0,8.0,14.0,13.0,14.0,4.0,1.0,11.0,66.0,7.0,3.0,11.0,0.0,21.0,21.0,11.0,0.0,2.0,,,,,Fruits
Banana,Fruits,5.0,89.0,23.0,0.0,8.0,33.0,26.0,20.0,26.0,27.0,3.0,20.0,0.0,0.0,0.0,22.0,7.0,358.0,11.0,11.0,1.0,1.0,0.0,64.0,3.0,3.0,0.0,7.0,67.0,33.0,37.0,87.0,15.0,98.0,49.0,8.0,3.0,7.0,5.0,27.0,1.0,5.0,54.0,12.0,3.0,1.0,5.0,0.0,1.0,5.0,,,,,,,,Fruits
Blackberry,Fruits,29.0,43.0,96.0,0.0,17.0,49.0,53.0,25.0,62.0,20.0,5.0,43.0,0.0,0.0,0.0,22.0,28.0,162.0,14.0,1.0,4.0,1.0,0.0,214.0,11.0,2.0,0.0,3.0,65.0,28.0,3.0,21.0,53.0,85.0,24.0,,,,,65.0,,,0.0,49.0,,,,0.0,12.0,20.0,,,,,,,,Fruits
Blueberry,Fruits,6.0,57.0,14.0,0.0,6.0,33.0,24.0,6.0,28.0,6.0,5.0,12.0,0.0,0.0,0.0,12.0,15.0,77.0,74.0,3.0,1.0,1.0,0.0,54.0,3.0,4.0,0.0,4.0,42.0,12.0,5.0,97.0,16.0,6.0,5.0,1.0,2.0,4.0,1.0,34.0,1.0,3.0,3.0,10.0,2.0,0.0,3.0,0.0,57.0,19.0,,,,,,,,Fruits
Boysenberries,Fruits,27.0,50.0,12.0,0.0,8.0,26.0,53.0,63.0,85.0,16.0,3.0,69.0,0.0,0.0,0.0,27.0,15.0,139.0,11.0,1.0,2.0,1.0,0.0,67.0,3.0,5.0,0.0,4.0,77.0,25.0,6.0,31.0,22.0,10.0,,,,,,55.0,,,,69.0,,,,0.0,87.0,78.0,,,,,,,,Fruits
Breadfruit,Fruits,17.0,103.0,27.0,0.0,8.0,23.0,49.0,14.0,54.0,25.0,3.0,22.0,0.0,0.0,0.0,30.0,7.0,490.0,11.0,5.0,6.0,2.0,0.0,0.0,0.0,11.0,0.0,3.0,9.0,46.0,1.0,29.0,12.0,98.0,,,6.0,7.0,4.0,6.0,1.0,3.0,,11.0,5.0,,5.0,0.0,1.0,5.0,,,,,,,,Fruits
Carambola,Fruits,3.0,31.0,67.0,0.0,14.0,33.0,28.0,12.0,8.0,10.0,3.0,39.0,0.0,0.0,0.0,12.0,18.0,133.0,1.0,2.0,6.0,2.0,0.0,61.0,3.0,1.0,0.0,2.0,37.0,39.0,2.0,34.0,12.0,76.0,,1.0,4.0,8.0,8.0,4.0,2.0,4.0,,4.0,4.0,1.0,5.0,0.0,15.0,0.0,,,,,,,,Fruits
Cherimoya,Fruits,10.0,75.0,18.0,0.0,7.0,68.0,3.0,23.0,27.0,17.0,6.0,15.0,0.0,0.0,0.0,26.0,19.0,287.0,16.0,23.0,,7.0,0.0,5.0,0.0,1.0,0.0,13.0,64.0,35.0,26.0,13.0,16.0,,63.0,2.0,4.0,6.0,4.0,9.0,2.0,4.0,0.0,13.0,5.0,3.0,6.0,,27.0,,16.0,0.0,0.0,0.0,0.0,3.0,,Fruits
Cherry,Fruits,16.0,50.0,12.0,0.0,1.0,3.0,16.0,8.0,32.0,9.0,8.0,11.0,0.0,0.0,0.0,15.0,9.0,173.0,1.0,7.0,0.0,3.0,0.0,1283.0,64.0,3.0,0.0,4.0,4.0,14.0,4.0,10.0,1.0,61.0,35.0,,,,,11.0,,,,85.0,,,,0.0,7.0,21.0,,,,,,,,Fruits
Crabapple (Malus),Fruits,18.0,76.0,20.0,0.0,7.0,3.0,,,36.0,7.0,1.0,20.0,,,,15.0,9.0,194.0,4.0,5.0,,1.0,0.0,40.0,2.0,3.0,0.0,2.0,1.0,,,8.0,,,,1.0,2.0,3.0,3.0,12.0,0.0,1.0,,,1.0,0.0,2.0,,,,,,,,,,,Fruits
Cranberry,Fruits,8.0,46.0,12.0,0.0,6.0,13.0,36.0,1.0,23.0,6.0,2.0,84.0,0.0,0.0,0.0,11.0,6.0,80.0,46.0,1.0,1.0,2.0,0.0,63.0,3.0,1.0,0.0,2.0,1.0,3.0,6.0,14.0,9.0,55.0,67.0,2.0,3.0,5.0,4.0,27.0,0.0,4.0,0.0,43.0,3.0,0.0,5.0,0.0,13.0,5.0,,,,,,,,Fruits
Currant,Fruits,33.0,56.0,14.0,0.0,11.0,2.0,43.0,8.0,1.0,13.0,3.0,95.0,0.0,0.0,0.0,44.0,9.0,275.0,14.0,2.0,6.0,1.0,0.0,42.0,2.0,4.0,0.0,5.0,1.0,6.0,7.0,41.0,23.0,76.0,35.0,,,,,19.0,,,,74.0,,,,0.0,1.0,11.0,,,,,,,,Fruits
Custard apple,Fruits,30.0,101.0,25.0,0.0,,6.0,24.0,,71.0,18.0,,23.0,,,,21.0,,382.0,17.0,23.0,,4.0,0.0,33.0,2.0,8.0,0.0,1.0,5.0,14.0,22.0,19.0,,,,,,,4.0,,0.0,,,,,1.0,,,,,,,,,,,,Fruits
Dates,Fruits,39.0,282.0,75.0,0.0,21.0,39.0,8.0,19.0,1.0,43.0,4.0,67.0,0.0,0.0,0.0,62.0,2.0,656.0,25.0,3.0,3.0,2.0,0.0,10.0,0.0,5.0,0.0,7.0,13.0,59.0,17.0,4.0,29.0,63.0,20.0,3.0,5.0,8.0,7.0,26.0,2.0,5.0,,63.0,4.0,1.0,7.0,0.0,5.0,27.0,,0.0,0.0,,,,,Fruits
Elderberry,Fruits,38.0,73.0,18.0,0.0,6.0,5.0,7.0,6.0,16.0,5.0,8.0,11.0,0.0,0.0,0.0,39.0,25.0,280.0,66.0,2.0,6.0,6.0,0.0,600.0,30.0,7.0,0.0,6.0,5.0,14.0,23.0,36.0,11.0,,,2.0,3.0,6.0,3.0,,1.0,4.0,,,3.0,1.0,3.0,,,,,,,,,,,Fruits
Figs,Fruits,35.0,74.0,19.0,0.0,7.0,3.0,29.0,6.0,37.0,17.0,7.0,16.0,0.0,0.0,0.0,14.0,14.0,232.0,75.0,6.0,2.0,1.0,0.0,142.0,7.0,6.0,0.0,5.0,4.0,3.0,11.0,2.0,15.0,47.0,,1.0,2.0,3.0,3.0,13.0,1.0,2.0,,16.0,2.0,1.0,3.0,0.0,11.0,47.0,,,,,,,,Fruits
Fruit salad,Fruits,11.0,50.0,13.0,0.0,5.0,3.0,1.0,3.0,25.0,8.0,1.0,12.0,,,,14.0,1.0,116.0,51.0,0.0,,5.0,0.0,600.0,30.0,1.0,0.0,1.0,36.0,5.0,3.0,33.0,14.0,,,,,,,15.0,,,,,,,,0.0,,,,,,,,,,Fruits
Gooseberry,Fruits,25.0,44.0,10.0,0.0,7.0,58.0,43.0,6.0,31.0,10.0,5.0,59.0,0.0,0.0,0.0,27.0,32.0,198.0,88.0,4.0,6.0,1.0,0.0,290.0,15.0,4.0,0.0,3.0,3.0,29.0,8.0,28.0,12.0,,,,,,,14.0,,,,,,,,,37.0,,,,,,,,,Fruits
Goji berries,Fruits,190.0,349.0,77.0,0.0,,39.0,13.0,,68.0,,,64.0,,,,,,,14.0,0.0,,298.0,0.0,26822.0,,,,,,,,48.0,,,,16.0,26.0,46.0,23.0,,9.0,27.0,,46.0,36.0,,32.0,,,,,,,,,,,Fruits
Grapefruit,Fruits,22.0,42.0,11.0,0.0,3.0,14.0,16.0,13.0,8.0,9.0,2.0,91.0,0.0,0.0,0.0,18.0,4.0,135.0,77.0,2.0,1.0,0.0,0.0,1150.0,58.0,4.0,0.0,3.0,2.0,26.0,5.0,31.0,7.0,77.0,18.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,69.0,1.0,1.0,2.0,0.0,13.0,0.0,,,,,,,,Fruits
Grape,Fruits,14.0,67.0,17.0,0.0,4.0,35.0,9.0,4.0,29.0,5.0,1.0,16.0,0.0,0.0,0.0,10.0,1.0,191.0,63.0,11.0,1.0,2.0,0.0,100.0,5.0,9.0,0.0,6.0,3.0,2.0,11.0,4.0,4.0,56.0,,2.0,1.0,1.0,1.0,72.0,2.0,1.0,,16.0,2.0,0.0,2.0,0.0,19.0,15.0,,,,,,,,Fruits
Peruvian groundcherry,Fruits,9.0,53.0,11.0,0.0,,7.0,,,1.0,,,11.0,,,,40.0,,,19.0,,,,0.0,720.0,36.0,11.0,0.0,4.0,28.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,Fruits
Guava,Fruits,18.0,68.0,14.0,0.0,23.0,95.0,54.0,49.0,26.0,22.0,9.0,89.0,0.0,0.0,0.0,40.0,4.0,417.0,26.0,27.0,6.0,2.0,0.0,624.0,31.0,7.0,0.0,4.0,11.0,45.0,11.0,228.0,23.0,76.0,,2.0,9.0,17.0,7.0,15.0,2.0,1.0,,89.0,1.0,2.0,9.0,0.0,73.0,26.0,,,,,,,,Fruits
Jackfruit,Fruits,24.0,95.0,23.0,0.0,8.0,64.0,15.0,24.0,23.0,29.0,16.0,22.0,0.0,0.0,0.0,21.0,9.0,448.0,17.0,2.0,,2.0,0.0,110.0,5.0,11.0,0.0,6.0,92.0,24.0,33.0,14.0,13.0,,92.0,3.0,7.0,1.0,7.0,4.0,3.0,5.0,15.0,19.0,9.0,3.0,9.0,,34.0,,8.0,0.0,0.0,0.0,0.0,2.0,,Fruits
Java plum,Fruits,19.0,60.0,16.0,0.0,,23.0,,,19.0,15.0,,16.0,,,,17.0,,79.0,72.0,,,14.0,0.0,3.0,0.0,1.0,0.0,1.0,26.0,,4.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,Fruits
Jujube,Fruits,21.0,79.0,20.0,0.0,7.0,2.0,,,48.0,10.0,,20.0,,,,23.0,,250.0,12.0,,,3.0,0.0,40.0,2.0,2.0,0.0,4.0,9.0,,8.0,69.0,5.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,Fruits
Kiwifruit,Fruits,34.0,61.0,15.0,0.0,13.0,52.0,3.0,25.0,31.0,17.0,5.0,12.0,0.0,0.0,0.0,34.0,29.0,312.0,11.0,3.0,2.0,3.0,0.0,87.0,4.0,3.0,0.0,3.0,34.0,18.0,6.0,93.0,14.0,78.0,44.0,3.0,5.0,7.0,6.0,1.0,2.0,4.0,0.0,9.0,5.0,2.0,6.0,0.0,15.0,40.0,,,,,,,,Fruits
Kumquat,Fruits,62.0,71.0,16.0,0.0,1.0,86.0,65.0,17.0,86.0,20.0,15.0,94.0,0.0,0.0,0.0,19.0,17.0,186.0,19.0,1.0,0.0,10.0,0.0,290.0,15.0,4.0,0.0,9.0,43.0,21.0,4.0,44.0,17.0,84.0,,,,,,14.0,,,,94.0,,,,0.0,15.0,0.0,,,,,,,,Fruits
Lemon,Fruits,26.0,29.0,93.0,0.0,4.0,3.0,28.0,11.0,6.0,8.0,1.0,65.0,0.0,0.0,0.0,16.0,9.0,138.0,11.0,4.0,4.0,2.0,0.0,22.0,1.0,4.0,0.0,2.0,1.0,19.0,8.0,53.0,6.0,51.0,,,,,,3.0,,,,25.0,,,,0.0,15.0,0.0,,,,,,,,Fruits
Lime,Fruits,33.0,30.0,11.0,0.0,7.0,2.0,28.0,8.0,6.0,6.0,2.0,77.0,0.0,0.0,0.0,18.0,6.0,102.0,7.0,2.0,4.0,2.0,0.0,50.0,2.0,3.0,0.0,2.0,2.0,22.0,4.0,29.0,11.0,51.0,,,,,1.0,1.0,0.0,,,17.0,,0.0,,0.0,22.0,6.0,,,,,,,,Fruits
Lychee,Fruits,5.0,66.0,17.0,0.0,15.0,44.0,13.0,14.0,31.0,10.0,12.0,15.0,0.0,0.0,0.0,31.0,13.0,171.0,83.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,6.0,,1.0,72.0,7.0,71.0,,,,,4.0,6.0,1.0,,,15.0,,1.0,,0.0,7.0,4.0,,,,,,,,Fruits
Loganberries,Fruits,26.0,55.0,13.0,0.0,12.0,31.0,53.0,26.0,64.0,21.0,3.0,77.0,0.0,0.0,0.0,26.0,18.0,145.0,15.0,1.0,2.0,1.0,0.0,35.0,2.0,5.0,0.0,3.0,84.0,24.0,7.0,15.0,34.0,85.0,,,,,,12.0,,,,77.0,,,,0.0,87.0,78.0,,,,,,,,Fruits
Longan,Fruits,1.0,60.0,15.0,0.0,17.0,1.0,11.0,,13.0,10.0,,14.0,,,,21.0,,266.0,13.0,,,0.0,0.0,,,3.0,0.0,14.0,3.0,,,84.0,5.0,,,1.0,3.0,5.0,5.0,5.0,1.0,3.0,,,3.0,,6.0,,,,,,,,,,,Fruits
Loquat,Fruits,16.0,47.0,12.0,0.0,4.0,2.0,17.0,14.0,28.0,13.0,1.0,10.0,0.0,0.0,0.0,27.0,9.0,266.0,43.0,4.0,6.0,1.0,0.0,1528.0,76.0,2.0,0.0,2.0,18.0,,1.0,1.0,5.0,,,1.0,2.0,3.0,2.0,15.0,0.0,1.0,,,2.0,1.0,2.0,,,,,,,,,,,Fruits
Mango,Fruits,11.0,60.0,15.0,0.0,11.0,38.0,16.0,43.0,16.0,10.0,14.0,13.0,0.0,0.0,0.0,14.0,7.0,168.0,82.0,9.0,6.0,1.0,0.0,1082.0,54.0,3.0,0.0,4.0,67.0,2.0,12.0,36.0,9.0,76.0,47.0,2.0,3.0,5.0,7.0,6.0,1.0,3.0,,14.0,3.0,1.0,4.0,0.0,9.0,42.0,,,,,,,,Fruits
Purple mangosteen,Fruits,12.0,73.0,18.0,0.0,7.0,58.0,18.0,31.0,3.0,13.0,,16.0,,,,8.0,,48.0,41.0,,,7.0,0.0,35.0,2.0,5.0,0.0,5.0,29.0,3.0,2.0,29.0,21.0,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,Fruits
Cantaloupe,Fruits,9.0,34.0,82.0,0.0,4.0,19.0,9.0,21.0,21.0,12.0,0.0,73.0,0.0,0.0,0.0,15.0,8.0,267.0,84.0,5.0,4.0,16.0,0.0,3382.0,169.0,4.0,0.0,2.0,73.0,11.0,7.0,37.0,18.0,76.0,19.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,79.0,2.0,0.0,3.0,0.0,5.0,25.0,,,,,,,,Fruits
Melon,Fruits,11.0,28.0,66.0,0.0,6.0,1.0,9.0,8.0,34.0,11.0,0.0,57.0,0.0,0.0,0.0,5.0,4.0,182.0,11.0,3.0,4.0,9.0,0.0,0.0,0.0,2.0,0.0,3.0,23.0,8.0,16.0,22.0,7.0,76.0,,,,,,4.0,,,,57.0,,,,0.0,5.0,25.0,,,,,,,,Fruits
Honeydew,Fruits,6.0,36.0,91.0,0.0,2.0,14.0,8.0,19.0,17.0,10.0,0.0,83.0,0.0,0.0,0.0,11.0,6.0,228.0,54.0,4.0,7.0,18.0,0.0,50.0,3.0,4.0,0.0,1.0,42.0,16.0,9.0,18.0,9.0,76.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,81.0,1.0,1.0,2.0,0.0,2.0,29.0,,,,,,,,Fruits
Mulberry,Fruits,39.0,43.0,98.0,0.0,6.0,39.0,17.0,6.0,19.0,18.0,4.0,81.0,0.0,0.0,0.0,38.0,21.0,194.0,14.0,3.0,6.0,10.0,0.0,25.0,1.0,3.0,0.0,1.0,62.0,,5.0,36.0,12.0,12.0,,,,,,,,,,81.0,,,,0.0,87.0,78.0,,,,,,,,Fruits
Nectarine,Fruits,6.0,44.0,11.0,0.0,9.0,32.0,17.0,5.0,28.0,9.0,9.0,89.0,0.0,0.0,0.0,26.0,11.0,201.0,11.0,3.0,0.0,0.0,0.0,332.0,17.0,3.0,0.0,3.0,11.0,19.0,3.0,54.0,17.0,62.0,14.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,7.0,79.0,1.0,1.0,1.0,0.0,77.0,22.0,,,,,,,,Fruits
Orange,Fruits,40.0,47.0,12.0,0.0,5.0,12.0,24.0,30.0,1.0,10.0,2.0,94.0,0.0,0.0,0.0,14.0,3.0,181.0,94.0,2.0,5.0,0.0,0.0,225.0,11.0,9.0,0.0,4.0,28.0,25.0,6.0,53.0,7.0,84.0,,2.0,3.0,2.0,5.0,3.0,2.0,3.0,,94.0,2.0,1.0,4.0,0.0,18.0,0.0,,,,,,,,Fruits
Mandarin orange,Fruits,37.0,53.0,13.0,0.0,4.0,31.0,18.0,16.0,15.0,12.0,6.0,12.0,0.0,0.0,0.0,20.0,7.0,166.0,81.0,4.0,1.0,2.0,0.0,681.0,34.0,6.0,0.0,4.0,38.0,22.0,8.0,27.0,7.0,10.0,24.0,1.0,2.0,3.0,3.0,4.0,0.0,2.0,0.0,11.0,2.0,0.0,2.0,0.0,2.0,0.0,,,,,,,,Fruits
Papaya,Fruits,20.0,43.0,11.0,0.0,5.0,26.0,17.0,37.0,25.0,21.0,7.0,91.0,0.0,0.0,0.0,10.0,6.0,182.0,47.0,8.0,6.0,8.0,0.0,950.0,47.0,2.0,0.0,3.0,36.0,19.0,4.0,61.0,8.0,61.0,37.0,1.0,1.0,2.0,3.0,4.0,0.0,1.0,0.0,78.0,1.0,1.0,1.0,0.0,3.0,26.0,,,,,,,,Fruits
Passion fruit,Fruits,12.0,97.0,23.0,0.0,9.0,7.0,10.0,14.0,16.0,29.0,9.0,13.0,0.0,0.0,0.0,68.0,41.0,348.0,22.0,6.0,6.0,28.0,0.0,1272.0,64.0,0.0,0.0,13.0,15.0,,1.0,30.0,1.0,76.0,,,,,,,,,,11.0,,,,0.0,2.0,7.0,,,,,,,,Fruits
Peach,Fruits,6.0,39.0,95.0,0.0,7.0,25.0,15.0,4.0,25.0,9.0,7.0,8.0,0.0,0.0,0.0,20.0,9.0,190.0,91.0,2.0,1.0,0.0,0.0,326.0,16.0,2.0,0.0,3.0,81.0,15.0,3.0,66.0,17.0,61.0,15.0,1.0,2.0,3.0,3.0,6.0,1.0,2.0,0.0,84.0,2.0,1.0,2.0,0.0,73.0,26.0,,,,,,,,Fruits
Pear,Fruits,9.0,57.0,15.0,0.0,8.0,14.0,31.0,7.0,18.0,7.0,8.0,12.0,0.0,0.0,0.0,12.0,9.0,116.0,36.0,2.0,1.0,1.0,0.0,25.0,1.0,1.0,0.0,3.0,16.0,5.0,3.0,43.0,1.0,51.0,64.0,0.0,1.0,2.0,2.0,5.0,0.0,1.0,,98.0,1.0,0.0,2.0,0.0,12.0,44.0,,,,,,,,Fruits
Persimmon,Fruits,27.0,127.0,34.0,0.0,,4.0,,,25.0,,,34.0,,,,26.0,,310.0,8.0,,,1.0,0.0,,,,0.0,,,,,66.0,,,,2.0,4.0,6.0,5.0,,1.0,4.0,,,4.0,1.0,4.0,,,,,,,,,,,Fruits
Pineapple,Fruits,13.0,50.0,13.0,0.0,11.0,12.0,14.0,18.0,29.0,12.0,1.0,12.0,0.0,0.0,0.0,8.0,4.0,109.0,54.0,1.0,1.0,1.0,0.0,58.0,3.0,8.0,0.0,3.0,5.0,21.0,11.0,48.0,12.0,55.0,21.0,1.0,2.0,2.0,3.0,93.0,1.0,2.0,0.0,99.0,2.0,1.0,2.0,0.0,2.0,7.0,,,,,,,,Fruits
Pitanga (Surinam cherry),Fruits,9.0,33.0,75.0,0.0,,4.0,,,2.0,12.0,,75.0,,,,11.0,,103.0,8.0,,,3.0,0.0,1500.0,75.0,3.0,0.0,4.0,3.0,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,Fruits
Plantain,Fruits,2.0,116.0,31.0,0.0,7.0,18.0,23.0,26.0,58.0,32.0,2.0,29.0,0.0,0.0,0.0,28.0,3.0,465.0,79.0,7.0,14.0,5.0,0.0,909.0,45.0,5.0,0.0,5.0,76.0,23.0,24.0,11.0,13.0,13.0,,4.0,2.0,4.0,4.0,,1.0,3.0,,14.0,2.0,1.0,3.0,0.0,13.0,7.0,,,,,,,,Fruits
Plum,Fruits,6.0,46.0,11.0,0.0,6.0,28.0,14.0,5.0,17.0,7.0,13.0,10.0,0.0,0.0,0.0,16.0,4.0,157.0,7.0,2.0,0.0,0.0,0.0,345.0,17.0,3.0,0.0,3.0,42.0,14.0,3.0,95.0,1.0,19.0,31.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,0.0,99.0,1.0,1.0,2.0,0.0,26.0,64.0,,,,,,,,Fruits
Pomegranate,Fruits,10.0,83.0,19.0,0.0,16.0,12.0,4.0,38.0,3.0,12.0,9.0,15.0,0.0,0.0,0.0,36.0,8.0,236.0,17.0,12.0,5.0,3.0,0.0,0.0,0.0,7.0,0.0,5.0,29.0,38.0,8.0,10.0,35.0,76.0,,,,,,12.0,,,,14.0,,,,0.0,6.0,16.0,,,,,,,,Fruits
Prickly pear,Fruits,56.0,41.0,96.0,0.0,8.0,51.0,36.0,6.0,3.0,85.0,8.0,6.0,0.0,0.0,0.0,24.0,21.0,220.0,73.0,7.0,6.0,5.0,0.0,43.0,2.0,1.0,0.0,6.0,46.0,,6.0,14.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,Fruits
Prunes,Fruits,43.0,240.0,64.0,0.0,28.0,38.0,71.0,4.0,93.0,41.0,5.0,57.0,0.0,0.0,0.0,69.0,6.0,732.0,22.0,9.0,3.0,2.0,,781.0,39.0,5.0,0.0,19.0,19.0,42.0,21.0,6.0,44.0,10.0,12.0,3.0,4.0,7.0,5.0,3.0,2.0,5.0,51.0,38.0,5.0,3.0,6.0,0.0,43.0,60.0,,0.0,0.0,,,,,Fruits
Pomelo,Fruits,4.0,38.0,96.0,0.0,5.0,4.0,1.0,,11.0,6.0,,86.0,,,,17.0,,216.0,76.0,,,1.0,0.0,8.0,0.0,3.0,0.0,3.0,22.0,,4.0,61.0,8.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,Fruits
Quince,Fruits,11.0,57.0,15.0,0.0,13.0,1.0,19.0,3.0,7.0,8.0,4.0,13.0,0.0,0.0,0.0,17.0,5.0,197.0,4.0,1.0,6.0,4.0,0.0,40.0,2.0,2.0,0.0,3.0,2.0,8.0,4.0,15.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,Fruits
Raisin,Fruits,50.0,299.0,79.0,0.0,32.0,46.0,37.0,5.0,19.0,32.0,5.0,75.0,0.0,0.0,0.0,101.0,4.0,749.0,31.0,6.0,6.0,11.0,0.0,0.0,0.0,11.0,0.0,13.0,77.0,1.0,17.0,23.0,22.0,11.0,30.0,7.0,6.0,1.0,8.0,3.0,2.0,7.0,27.0,59.0,8.0,5.0,8.0,0.0,12.0,35.0,,0.0,0.0,,,,,Fruits
Rambutan,Fruits,22.0,82.0,21.0,0.0,7.0,21.0,9.0,8.0,35.0,7.0,,20.0,,,,9.0,,42.0,65.0,,,11.0,0.0,3.0,0.0,1.0,0.0,2.0,14.0,2.0,2.0,49.0,8.0,,,,,,,34.0,,,,,,,,,,,,,,,,,,Fruits
Raspberry,Fruits,25.0,52.0,12.0,0.0,9.0,65.0,65.0,21.0,69.0,22.0,6.0,54.0,0.0,0.0,0.0,29.0,38.0,151.0,12.0,2.0,2.0,1.0,0.0,33.0,2.0,3.0,0.0,4.0,6.0,33.0,6.0,26.0,42.0,12.0,24.0,,,,,67.0,,,0.0,44.0,,,,0.0,87.0,78.0,,,,,,,,Fruits
Roselle,Fruits,215.0,49.0,11.0,0.0,,64.0,,,15.0,51.0,,11.0,,,,37.0,,208.0,96.0,,,6.0,0.0,287.0,14.0,1.0,0.0,3.0,31.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,Fruits
Rose apple,Fruits,29.0,25.0,57.0,0.0,2.0,3.0,,,7.0,5.0,,57.0,,,,8.0,,123.0,6.0,,,0.0,0.0,339.0,17.0,2.0,0.0,3.0,8.0,,,22.0,6.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,Fruits
Sapodilla,Fruits,21.0,83.0,20.0,0.0,9.0,11.0,53.0,14.0,8.0,12.0,52.0,15.0,0.0,0.0,0.0,12.0,1.0,193.0,44.0,19.0,6.0,12.0,0.0,60.0,3.0,0.0,0.0,2.0,2.0,25.0,4.0,15.0,1.0,,,2.0,2.0,2.0,4.0,,0.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,Fruits
Mamey Sapote,Fruits,18.0,124.0,32.0,0.0,21.0,46.0,54.0,7.0,78.0,11.0,1.0,27.0,0.0,0.0,0.0,26.0,1.0,454.0,15.0,17.0,,7.0,0.0,143.0,7.0,1.0,0.0,12.0,14.0,4.0,72.0,23.0,19.0,,77.0,5.0,6.0,7.0,7.0,2.0,2.0,6.0,63.0,20.0,9.0,5.0,7.0,,21.0,,8.0,0.0,0.0,0.0,0.0,1.0,,Fruits
Soursop,Fruits,14.0,66.0,17.0,0.0,9.0,3.0,33.0,14.0,6.0,21.0,9.0,14.0,0.0,0.0,0.0,27.0,7.0,278.0,1.0,5.0,6.0,14.0,0.0,2.0,0.0,7.0,0.0,5.0,9.0,25.0,6.0,21.0,1.0,76.0,,,,,6.0,,1.0,,,14.0,,1.0,,0.0,8.0,4.0,,,,,,,,Fruits
